ax,ay,az,gx,gy,gz,mx,my,mz
0.00,-1.01,-0.02,-2.69,0.12,-0.18,-167.00,27.00,-31.00
0.00,-1.01,-0.02,-3.30,0.12,-0.18,-164.00,26.00,-28.00
0.00,-1.01,-0.03,-3.48,0.06,-0.24,-167.00,25.00,-29.00
0.00,-1.01,-0.02,0.49,0.18,-0.18,-164.00,26.00,-28.00
0.00,-1.01,-0.02,4.82,0.12,-0.18,-166.00,24.00,-28.00
0.00,-1.01,-0.02,3.30,0.06,-0.12,-165.00,24.00,-25.00
0.00,-1.01,-0.01,-5.00,0.06,-0.18,-167.00,24.00,-27.00
0.00,-1.01,-0.01,-3.54,0.12,-0.18,-165.00,23.00,-25.00
0.00,-1.01,-0.01,-3.97,0.06,-0.18,-166.00,25.00,-30.00
0.00,-1.01,-0.01,-2.69,0.06,-0.18,-167.00,26.00,-30.00
0.00,-1.01,-0.02,-0.24,0.12,-0.18,-166.00,25.00,-28.00
0.00,-1.01,-0.01,0.12,0.06,-0.18,-166.00,27.00,-29.00
0.00,-1.01,-0.01,-7.20,0.06,-0.18,-167.00,25.00,-29.00
0.00,-1.01,-0.02,-6.35,0.12,-0.18,-166.00,24.00,-29.00
0.00,-1.01,-0.03,7.14,0.06,-0.18,-166.00,25.00,-32.00
0.00,-1.01,-0.01,0.61,0.12,-0.18,-166.00,25.00,-27.00
0.00,-1.01,-0.01,-1.34,0.06,-0.24,-166.00,25.00,-24.00
0.00,-1.01,-0.02,-2.44,0.18,-0.24,-169.00,26.00,-29.00
0.00,-1.01,-0.02,-4.15,0.12,-0.31,-167.00,24.00,-26.00
0.00,-1.01,-0.02,-1.04,0.06,-0.18,-166.00,23.00,-32.00
0.00,-1.01,-0.03,4.03,0.12,-0.24,-168.00,26.00,-26.00
0.00,-1.01,-0.02,2.62,0.18,-0.12,-166.00,26.00,-24.00
0.00,-1.01,-0.02,1.10,0.06,-0.18,-166.00,26.00,-30.00
0.00,-1.01,-0.01,-0.43,0.06,-0.18,-167.00,26.00,-27.00
0.00,-1.01,-0.02,-0.24,0.12,-0.18,-167.00,25.00,-27.00
0.00,-1.01,-0.02,1.77,0.12,-0.12,-168.00,25.00,-27.00
0.00,-1.01,-0.02,-0.98,0.12,-0.18,-165.00,24.00,-27.00
0.00,-1.01,-0.02,-3.11,0.12,-0.18,-167.00,24.00,-29.00
0.00,-1.01,-0.03,0.85,0.06,-0.24,-166.00,27.00,-32.00
0.00,-1.01,-0.02,1.34,0.12,-0.12,-165.00,23.00,-27.00
0.00,-1.01,-0.02,0.79,0.06,-0.12,-166.00,27.00,-28.00
0.00,-1.01,-0.01,0.92,0.12,-0.24,-165.00,25.00,-29.00
0.00,-1.01,-0.02,-1.95,0.12,-0.18,-166.00,26.00,-27.00
0.00,-1.01,-0.01,-4.33,0.06,-0.18,-167.00,25.00,-28.00
0.00,-1.01,-0.02,0.98,0.12,-0.12,-167.00,25.00,-27.00
0.00,-1.01,-0.01,0.85,0.12,-0.18,-169.00,25.00,-29.00
0.00,-1.01,-0.01,-2.01,0.12,-0.18,-166.00,24.00,-23.00
0.00,-1.01,-0.02,0.43,0.12,-0.18,-166.00,26.00,-28.00
0.00,-1.01,-0.01,1.04,0.06,-0.18,-169.00,25.00,-30.00
0.00,-1.01,-0.02,-4.39,0.18,-0.24,-166.00,24.00,-26.00
0.00,-1.01,-0.02,0.73,0.18,-0.18,-165.00,26.00,-32.00
0.00,-1.01,-0.02,-0.31,0.18,-0.18,-167.00,25.00,-31.00
0.00,-1.01,-0.02,-0.12,0.18,-0.12,-166.00,25.00,-27.00
0.00,-1.01,-0.01,5.31,0.18,-0.18,-167.00,25.00,-26.00
0.00,-1.01,-0.02,2.20,0.12,-0.24,-166.00,23.00,-26.00
0.00,-1.01,-0.01,2.62,0.12,-0.18,-164.00,25.00,-29.00
0.00,-1.01,-0.01,4.03,0.06,-0.24,-167.00,24.00,-25.00
0.00,-1.01,-0.01,5.00,0.12,-0.18,-167.00,24.00,-27.00
0.00,-1.01,-0.02,2.14,0.12,-0.12,-166.00,26.00,-27.00
0.00,-1.01,-0.01,-0.98,0.06,-0.18,-166.00,26.00,-25.00
0.00,-1.01,-0.02,0.18,0.06,-0.12,-167.00,25.00,-28.00
0.00,-1.01,-0.01,-2.62,0.12,-0.18,-166.00,26.00,-25.00
0.00,-1.01,-0.01,-9.34,0.12,-0.18,-165.00,25.00,-32.00
0.00,-1.01,-0.02,-9.58,0.12,-0.24,-165.00,26.00,-33.00
0.00,-1.01,-0.02,1.83,0.06,-0.18,-166.00,25.00,-27.00
0.00,-1.01,-0.02,0.06,0.12,-0.18,-167.00,25.00,-29.00
0.00,-1.01,-0.01,-6.41,0.06,-0.18,-167.00,25.00,-28.00
0.00,-1.01,-0.01,0.61,0.06,-0.18,-165.00,24.00,-27.00
0.00,-1.01,-0.01,0.67,0.12,-0.18,-168.00,23.00,-30.00
0.00,-1.01,-0.01,-4.39,0.06,-0.18,-166.00,25.00,-23.00
0.00,-1.01,-0.01,-3.78,0.06,-0.24,-168.00,25.00,-28.00
0.00,-1.01,-0.02,-1.28,0.12,-0.24,-166.00,25.00,-29.00
0.00,-1.01,-0.01,-1.22,0.06,-0.18,-166.00,25.00,-30.00
0.00,-1.01,-0.01,-0.49,0.18,-0.18,-166.00,26.00,-25.00
0.00,-1.01,-0.01,-2.87,0.18,-0.24,-166.00,25.00,-27.00
0.00,-1.01,-0.01,0.00,0.06,-0.12,-166.00,27.00,-28.00
0.00,-1.01,-0.02,2.75,0.12,-0.18,-165.00,25.00,-27.00
0.00,-1.01,-0.01,3.23,0.06,-0.24,-167.00,27.00,-25.00
0.00,-1.01,-0.01,3.11,0.06,-0.24,-165.00,25.00,-28.00
0.00,-1.01,-0.01,-2.32,0.06,-0.18,-166.00,27.00,-29.00
0.00,-1.01,-0.00,-2.20,0.06,-0.12,-165.00,24.00,-29.00
0.00,-1.01,-0.01,-0.61,0.06,-0.24,-166.00,23.00,-27.00
0.00,-1.01,-0.01,2.01,0.12,-0.24,-166.00,26.00,-25.00
