ax,ay,az,gx,gy,gz,mx,my,mz
0.02,0.98,-0.08,-0.37,0.12,-0.24,0.00,-8.00,-8.00
0.02,0.97,-0.07,1.16,0.12,-0.24,0.00,-6.00,-7.00
0.02,0.97,-0.07,1.59,0.06,-0.24,1.00,-6.00,-3.00
0.02,0.97,-0.07,0.85,0.12,-0.24,1.00,-6.00,-3.00
0.02,0.97,-0.06,0.67,0.00,-0.31,2.00,-7.00,-9.00
0.02,0.97,-0.07,1.71,0.06,-0.18,1.00,-5.00,-5.00
0.02,0.97,-0.06,0.73,0.06,-0.24,1.00,-8.00,-6.00
0.02,0.97,-0.06,1.89,0.06,-0.24,2.00,-8.00,-4.00
0.02,0.98,-0.06,-0.12,0.12,-0.18,1.00,-7.00,-6.00
0.02,0.97,-0.06,-0.98,0.12,-0.18,1.00,-7.00,-6.00
0.02,0.98,-0.06,-1.89,0.06,-0.18,2.00,-6.00,-9.00
0.02,0.97,-0.07,-2.20,0.06,-0.24,3.00,-6.00,-7.00
0.02,0.97,-0.06,-1.53,0.12,-0.24,1.00,-8.00,-4.00
0.02,0.98,-0.06,-0.85,0.12,-0.24,1.00,-3.00,-6.00
0.02,0.97,-0.06,0.00,0.06,-0.24,2.00,-6.00,-5.00
0.02,0.97,-0.06,0.73,0.06,-0.18,0.00,-5.00,-8.00
0.02,0.97,-0.06,1.04,0.12,-0.31,0.00,-6.00,-6.00
0.02,0.97,-0.06,-0.98,0.18,-0.24,0.00,-7.00,-5.00
0.02,0.97,-0.07,-1.59,0.18,-0.31,1.00,-8.00,-6.00
0.02,0.97,-0.06,-1.46,0.12,-0.24,0.00,-6.00,-6.00
0.02,0.97,-0.06,-0.18,0.06,-0.24,0.00,-6.00,-6.00
0.02,0.97,-0.06,-0.24,0.06,-0.24,1.00,-6.00,-2.00
0.02,0.97,-0.06,-2.01,0.12,-0.24,0.00,-9.00,-8.00
0.02,0.97,-0.06,-0.67,0.18,-0.24,2.00,-7.00,-3.00
0.02,0.97,-0.06,0.31,0.12,-0.24,1.00,-5.00,-6.00
0.02,0.97,-0.06,1.28,0.06,-0.24,1.00,-7.00,-6.00
0.02,0.97,-0.06,-0.49,0.12,-0.31,0.00,-7.00,-8.00
0.02,0.97,-0.06,-1.16,0.06,-0.18,0.00,-7.00,-7.00
0.02,0.97,-0.06,-1.95,0.12,-0.24,2.00,-7.00,-5.00
0.02,0.98,-0.06,1.40,0.18,-0.24,1.00,-8.00,-4.00
0.02,0.97,-0.06,-0.73,0.00,-0.24,1.00,-5.00,-4.00
0.02,0.97,-0.06,0.43,0.18,-0.24,0.00,-8.00,-6.00
0.02,0.97,-0.06,-1.10,0.06,-0.24,1.00,-9.00,-4.00
0.02,0.97,-0.06,1.10,0.06,-0.24,-1.00,-5.00,-8.00
0.02,0.98,-0.06,0.37,0.12,-0.24,2.00,-7.00,-8.00
0.02,0.97,-0.06,-0.18,0.12,-0.24,0.00,-6.00,-3.00
0.02,0.98,-0.06,-1.65,0.12,-0.24,0.00,-7.00,-9.00
0.02,0.97,-0.06,1.53,0.12,-0.24,0.00,-8.00,-6.00
0.02,0.97,-0.06,0.92,0.12,-0.24,0.00,-6.00,-7.00
0.02,0.97,-0.06,0.31,0.06,-0.24,0.00,-8.00,-2.00
0.02,0.98,-0.06,-0.49,0.00,-0.31,0.00,-7.00,-6.00
0.02,0.97,-0.06,-0.73,0.12,-0.24,0.00,-10.00,-8.00
