ax,ay,az,gx,gy,gz,mx,my,mz
0.01,-1.01,-0.01,0.06,0.24,-0.31,-150.00,-22.00,12.00
0.01,-1.01,-0.01,-0.92,0.18,-0.24,-151.00,-22.00,12.00
0.01,-1.01,-0.01,-0.06,0.18,-0.31,-150.00,-22.00,13.00
0.01,-1.01,-0.01,-0.31,0.18,-0.24,-149.00,-23.00,10.00
0.01,-1.01,-0.01,-1.77,0.18,-0.31,-148.00,-23.00,10.00
0.01,-1.01,-0.01,-0.31,0.12,-0.24,-150.00,-21.00,16.00
0.01,-1.01,-0.01,-0.61,0.06,-0.24,-151.00,-23.00,14.00
0.01,-1.01,-0.01,0.55,0.24,-0.31,-151.00,-23.00,16.00
0.01,-1.01,-0.01,-0.18,0.18,-0.18,-149.00,-21.00,11.00
0.01,-1.01,-0.01,1.34,0.12,-0.24,-148.00,-23.00,15.00
0.01,-1.01,-0.02,1.46,0.24,-0.24,-151.00,-23.00,16.00
0.01,-1.01,-0.02,-1.71,0.18,-0.24,-150.00,-22.00,14.00
0.01,-1.01,-0.02,-0.61,0.12,-0.18,-150.00,-21.00,13.00
0.01,-1.01,-0.02,-1.71,0.18,-0.24,-148.00,-23.00,13.00
0.01,-1.01,-0.02,-0.12,0.12,-0.24,-150.00,-25.00,8.00
0.01,-1.01,-0.02,-2.26,0.12,-0.31,-150.00,-23.00,16.00
0.01,-1.01,-0.02,-2.32,0.24,-0.31,-148.00,-24.00,14.00
0.01,-1.01,-0.01,-1.65,0.12,-0.31,-149.00,-23.00,17.00
0.01,-1.01,-0.01,-0.43,0.18,-0.24,-149.00,-22.00,13.00
0.01,-1.01,-0.02,2.14,0.31,-0.18,-149.00,-23.00,14.00
0.01,-1.01,-0.01,2.08,0.24,-0.12,-149.00,-22.00,10.00
0.01,-1.01,-0.01,1.04,0.18,-0.12,-149.00,-24.00,10.00
0.01,-1.01,-0.02,1.71,0.24,-0.18,-149.00,-22.00,16.00
