ax,ay,az,gx,gy,gz,mx,my,mz
0.01,-1.00,0.08,-3.36,0.12,-0.18,-86.00,-8.00,5.00
0.01,-1.00,0.09,0.37,0.06,-0.31,-84.00,-8.00,3.00
0.01,-1.00,0.08,-2.26,0.12,-0.31,-83.00,-8.00,2.00
0.01,-1.00,0.08,-1.65,0.18,-0.24,-85.00,-8.00,6.00
0.01,-1.00,0.08,-2.62,0.18,-0.24,-86.00,-8.00,12.00
0.01,-1.00,0.08,1.53,0.12,-0.31,-84.00,-8.00,11.00
0.01,-1.00,0.09,0.43,0.12,-0.31,-84.00,-10.00,11.00
0.01,-1.00,0.09,-1.89,0.12,-0.31,-84.00,-9.00,8.00
0.01,-1.00,0.09,-1.28,0.12,-0.31,-84.00,-9.00,7.00
0.01,-1.00,0.09,-0.12,0.12,-0.24,-85.00,-11.00,8.00
0.01,-1.00,0.08,-0.06,0.18,-0.37,-86.00,-10.00,7.00
0.01,-1.00,0.09,1.59,0.18,-0.31,-84.00,-8.00,10.00
0.01,-1.00,0.09,-0.12,0.06,-0.18,-82.00,-8.00,4.00
0.01,-1.00,0.09,-2.93,0.12,-0.31,-84.00,-9.00,8.00
0.01,-1.00,0.09,-0.18,0.18,-0.31,-84.00,-10.00,8.00
0.01,-1.00,0.09,-0.24,0.12,-0.31,-85.00,-10.00,7.00
0.01,-1.00,0.09,-1.71,0.06,-0.31,-85.00,-10.00,10.00
0.01,-1.00,0.09,-0.92,0.12,-0.24,-85.00,-9.00,6.00
0.01,-1.00,0.09,-0.24,0.12,-0.24,-84.00,-9.00,8.00
0.01,-1.00,0.08,0.61,0.18,-0.24,-86.00,-11.00,10.00
0.01,-1.00,0.09,0.67,0.12,-0.31,-85.00,-9.00,9.00
0.01,-1.00,0.09,-0.31,0.12,-0.31,-84.00,-6.00,6.00
0.01,-1.00,0.09,-0.98,0.18,-0.31,-84.00,-8.00,8.00
0.01,-1.00,0.09,-0.55,0.12,-0.31,-82.00,-8.00,13.00
0.01,-1.00,0.09,0.55,0.12,-0.31,-86.00,-10.00,12.00
0.01,-1.00,0.09,0.12,0.18,-0.24,-84.00,-8.00,10.00
0.01,-1.00,0.09,1.04,0.18,-0.24,-86.00,-9.00,8.00
0.01,-1.00,0.09,-0.67,0.12,-0.24,-82.00,-9.00,6.00
0.01,-1.00,0.09,-1.95,0.06,-0.24,-85.00,-9.00,7.00
0.01,-1.00,0.09,-1.95,0.18,-0.24,-87.00,-9.00,4.00
0.01,-1.00,0.08,-0.18,0.18,-0.24,-87.00,-10.00,5.00
0.01,-1.00,0.09,0.37,0.06,-0.31,-85.00,-9.00,5.00
0.01,-1.00,0.09,-0.12,0.12,-0.31,-86.00,-10.00,12.00
0.01,-1.00,0.08,-0.43,0.12,-0.37,-85.00,-7.00,3.00
0.01,-1.00,0.09,0.31,0.06,-0.24,-85.00,-9.00,6.00
0.01,-1.00,0.09,0.49,0.12,-0.31,-87.00,-10.00,6.00
0.01,-1.00,0.09,-0.18,0.18,-0.24,-85.00,-8.00,11.00
0.01,-1.00,0.09,0.18,0.12,-0.31,-84.00,-8.00,8.00
0.01,-1.00,0.09,-1.89,0.12,-0.24,-85.00,-8.00,9.00
0.01,-1.00,0.09,-2.50,0.06,-0.31,-88.00,-9.00,11.00
0.01,-1.00,0.09,-1.65,0.12,-0.24,-85.00,-9.00,10.00
0.01,-1.00,0.09,-0.73,0.06,-0.31,-85.00,-8.00,13.00
0.01,-1.00,0.09,-0.06,0.06,-0.31,-86.00,-10.00,5.00
0.01,-1.00,0.09,0.79,0.12,-0.24,-84.00,-9.00,11.00
0.01,-1.00,0.09,0.18,0.12,-0.31,-87.00,-9.00,5.00
0.01,-1.00,0.09,0.49,0.12,-0.31,-86.00,-10.00,7.00
0.01,-1.00,0.09,0.18,0.12,-0.18,-85.00,-9.00,6.00
0.01,-1.00,0.09,-0.06,0.18,-0.31,-86.00,-6.00,5.00
0.01,-1.00,0.09,0.98,0.12,-0.31,-84.00,-9.00,10.00
0.01,-1.00,0.09,-0.31,0.06,-0.24,-86.00,-8.00,6.00
0.01,-1.00,0.09,-2.81,0.06,-0.18,-84.00,-9.00,7.00
0.01,-1.00,0.09,-0.61,0.12,-0.24,-85.00,-9.00,4.00
0.01,-1.00,0.09,1.04,0.18,-0.24,-82.00,-10.00,9.00
0.01,-1.00,0.09,1.16,0.18,-0.24,-86.00,-6.00,6.00
0.01,-1.00,0.09,0.79,0.12,-0.31,-86.00,-9.00,8.00
0.01,-1.00,0.09,0.12,0.06,-0.18,-85.00,-11.00,8.00
0.01,-1.00,0.09,-1.04,0.12,-0.31,-85.00,-9.00,7.00
0.01,-1.00,0.09,1.04,0.12,-0.31,-86.00,-9.00,9.00
0.01,-1.00,0.09,0.00,0.12,-0.24,-86.00,-11.00,11.00
0.01,-1.00,0.09,-2.32,0.18,-0.31,-85.00,-10.00,8.00
0.01,-1.00,0.09,-1.65,0.18,-0.24,-85.00,-9.00,10.00
0.01,-1.00,0.09,-0.24,0.12,-0.31,-85.00,-9.00,10.00
0.01,-1.00,0.09,-0.55,0.18,-0.31,-86.00,-8.00,8.00
0.01,-1.00,0.09,-0.67,0.12,-0.24,-86.00,-9.00,13.00
0.01,-1.00,0.09,-0.37,0.12,-0.31,-85.00,-9.00,6.00
0.01,-1.00,0.09,0.18,0.00,-0.24,-83.00,-10.00,11.00
0.01,-1.00,0.09,1.34,0.18,-0.31,-83.00,-9.00,9.00
0.01,-1.00,0.09,-1.53,0.12,-0.31,-85.00,-7.00,12.00
0.01,-1.00,0.09,-0.67,0.12,-0.24,-84.00,-9.00,2.00
0.01,-1.00,0.09,-0.92,0.12,-0.24,-84.00,-9.00,4.00
0.01,-1.00,0.09,-0.18,0.18,-0.24,-86.00,-9.00,13.00
0.01,-1.00,0.09,0.00,0.12,-0.24,-86.00,-10.00,4.00
0.01,-1.00,0.09,-1.22,0.18,-0.18,-85.00,-12.00,0.00
0.01,-1.00,0.09,-2.38,0.12,-0.31,-85.00,-9.00,6.00
0.01,-1.00,0.09,-0.61,0.12,-0.31,-84.00,-8.00,7.00
0.01,-1.00,0.08,1.10,0.12,-0.24,-86.00,-9.00,8.00
0.01,-1.00,0.09,0.06,0.12,-0.24,-86.00,-10.00,6.00
0.01,-1.00,0.09,-0.61,0.12,-0.31,-85.00,-9.00,9.00
0.01,-1.00,0.09,0.31,0.12,-0.31,-83.00,-9.00,8.00
0.01,-1.00,0.09,-1.28,0.00,-0.31,-86.00,-10.00,10.00
0.01,-1.00,0.09,-0.79,0.12,-0.24,-85.00,-9.00,10.00
0.01,-1.00,0.08,0.24,0.12,-0.31,-85.00,-9.00,8.00
0.01,-1.00,0.08,-0.49,0.18,-0.24,-85.00,-9.00,8.00
0.01,-1.00,0.08,1.22,0.12,-0.31,-85.00,-9.00,8.00
0.01,-1.00,0.08,1.28,0.12,-0.24,-82.00,-6.00,8.00
0.01,-1.00,0.08,-0.79,0.12,-0.18,-85.00,-7.00,9.00
0.01,-1.00,0.08,0.67,0.12,-0.18,-85.00,-7.00,12.00
0.01,-1.00,0.08,-0.67,0.18,-0.31,-83.00,-10.00,10.00
0.01,-1.00,0.08,0.00,0.18,-0.24,-86.00,-10.00,10.00
0.01,-1.00,0.08,0.06,0.12,-0.24,-84.00,-8.00,8.00
0.01,-1.00,0.08,0.67,0.06,-0.24,-84.00,-9.00,10.00
0.01,-1.00,0.08,-0.37,0.12,-0.31,-85.00,-8.00,7.00
0.01,-1.00,0.07,0.61,0.12,-0.24,-84.00,-9.00,0.00
0.01,-1.00,0.07,-0.06,0.12,-0.37,-86.00,-9.00,5.00
0.01,-1.00,0.07,-0.67,0.12,-0.18,-86.00,-12.00,5.00
0.01,-1.00,0.07,-0.73,0.18,-0.31,-85.00,-6.00,11.00
0.01,-1.00,0.08,-0.98,0.12,-0.24,-85.00,-9.00,9.00
0.01,-1.00,0.08,0.00,0.06,-0.24,-84.00,-10.00,7.00
0.01,-1.00,0.08,-0.31,0.24,-0.31,-84.00,-10.00,8.00
0.01,-1.00,0.08,-0.49,0.12,-0.24,-85.00,-10.00,8.00
0.01,-1.00,0.08,-1.34,0.06,-0.24,-85.00,-8.00,10.00
0.01,-1.00,0.08,0.18,0.12,-0.24,-85.00,-10.00,9.00
0.01,-1.00,0.08,-0.18,0.12,-0.24,-87.00,-8.00,8.00
0.01,-1.00,0.08,-1.77,0.18,-0.31,-85.00,-7.00,8.00
0.01,-1.00,0.08,-0.79,0.18,-0.31,-85.00,-11.00,8.00
0.01,-1.00,0.08,-1.10,0.18,-0.31,-86.00,-7.00,6.00
0.01,-1.00,0.08,-0.61,0.12,-0.31,-87.00,-7.00,10.00
0.01,-1.00,0.08,0.67,0.00,-0.24,-86.00,-9.00,11.00
0.01,-1.00,0.08,1.59,0.12,-0.31,-86.00,-9.00,7.00
0.01,-1.00,0.07,-1.10,0.12,-0.24,-85.00,-10.00,7.00
0.01,-1.00,0.08,0.61,0.12,-0.24,-85.00,-11.00,10.00
0.01,-1.00,0.08,-0.43,0.12,-0.31,-85.00,-9.00,7.00
0.01,-1.00,0.08,0.73,0.18,-0.24,-85.00,-9.00,6.00
0.01,-1.00,0.07,0.12,0.12,-0.24,-85.00,-8.00,9.00
0.01,-1.00,0.07,-1.22,0.18,-0.31,-85.00,-9.00,8.00
0.01,-1.00,0.07,-2.08,0.12,-0.31,-87.00,-10.00,6.00
0.01,-1.00,0.08,0.18,0.12,-0.31,-85.00,-9.00,7.00
0.01,-1.00,0.08,-0.61,0.06,-0.24,-86.00,-10.00,8.00
0.01,-1.00,0.07,-3.85,0.12,-0.37,-86.00,-7.00,7.00
0.01,-1.00,0.07,-2.50,0.06,-0.31,-86.00,-8.00,4.00
0.01,-1.00,0.07,-0.79,0.06,-0.31,-85.00,-10.00,6.00
0.01,-1.00,0.08,-1.71,0.12,-0.24,-84.00,-11.00,8.00
0.01,-1.00,0.08,-3.85,0.12,-0.24,-85.00,-8.00,5.00
0.01,-1.00,0.08,0.43,0.18,-0.31,-86.00,-10.00,7.00
0.01,-1.00,0.08,-0.31,0.12,-0.18,-88.00,-10.00,12.00
0.01,-1.00,0.08,-1.04,0.12,-0.31,-86.00,-8.00,4.00
0.01,-1.00,0.08,-0.61,0.18,-0.31,-86.00,-9.00,5.00
