ax,ay,az,gx,gy,gz,mx,my,mz
0.01,0.97,-0.09,0.61,0.18,-0.37,2.00,-7.00,-15.00
0.02,0.97,-0.09,1.53,0.12,-0.18,3.00,-6.00,-10.00
0.01,0.97,-0.09,1.65,0.18,-0.18,0.00,-5.00,-17.00
0.02,0.97,-0.09,-3.36,0.18,-0.18,1.00,-7.00,-15.00
0.02,0.97,-0.09,-0.73,0.18,-0.18,2.00,-5.00,-19.00
0.02,0.97,-0.09,-1.77,0.12,-0.24,2.00,-8.00,-15.00
0.02,0.97,-0.10,-0.43,0.12,-0.18,1.00,-8.00,-12.00
0.02,0.97,-0.09,1.16,0.12,-0.24,2.00,-7.00,-11.00
0.01,0.97,-0.09,1.16,0.12,-0.31,1.00,-3.00,-17.00
0.02,0.97,-0.09,-2.08,0.18,-0.24,0.00,-7.00,-13.00
0.02,0.97,-0.09,-0.67,0.18,-0.31,1.00,-5.00,-14.00
0.02,0.97,-0.09,0.18,0.12,-0.18,2.00,-9.00,-14.00
0.02,0.97,-0.09,-1.53,0.18,-0.18,1.00,-6.00,-12.00
0.02,0.97,-0.09,1.59,0.18,-0.24,0.00,-7.00,-12.00
0.02,0.97,-0.09,1.04,0.18,-0.18,2.00,-9.00,-15.00
0.02,0.97,-0.09,3.36,0.12,-0.24,3.00,-6.00,-17.00
0.02,0.97,-0.09,0.92,0.12,-0.18,4.00,-4.00,-17.00
0.02,0.97,-0.09,3.66,0.12,-0.18,2.00,-5.00,-17.00
0.02,0.97,-0.09,3.97,0.12,-0.24,0.00,-7.00,-16.00
0.02,0.97,-0.09,-0.37,0.18,-0.18,3.00,-6.00,-18.00
0.02,0.97,-0.09,0.24,0.18,-0.24,1.00,-5.00,-14.00
0.02,0.97,-0.09,-1.65,0.18,-0.18,0.00,-7.00,-11.00
0.02,0.97,-0.09,-1.34,0.18,-0.31,0.00,-8.00,-15.00
0.02,0.97,-0.09,-2.01,0.18,-0.12,1.00,-9.00,-12.00
0.02,0.97,-0.10,2.75,0.18,-0.24,0.00,-5.00,-15.00
0.02,0.97,-0.10,-0.55,0.18,-0.24,3.00,-7.00,-17.00
0.02,0.97,-0.11,0.98,0.12,-0.24,4.00,-5.00,-15.00
0.02,0.97,-0.11,-3.60,0.24,-0.24,2.00,-4.00,-14.00
0.02,0.97,-0.11,-1.40,0.06,-0.18,0.00,-6.00,-19.00
0.02,0.97,-0.11,1.71,0.18,-0.31,0.00,-8.00,-17.00
0.02,0.97,-0.11,0.98,0.12,-0.18,2.00,-5.00,-16.00
0.02,0.97,-0.11,-1.59,0.18,-0.24,2.00,-8.00,-16.00
0.01,0.97,-0.11,2.26,0.06,-0.24,3.00,-6.00,-12.00
0.01,0.97,-0.11,2.01,0.12,-0.24,1.00,-9.00,-20.00
0.02,0.97,-0.11,0.24,0.12,-0.18,3.00,-10.00,-15.00
0.02,0.97,-0.11,-2.87,0.31,-0.24,1.00,-7.00,-17.00
0.02,0.97,-0.11,-0.98,0.18,-0.24,2.00,-8.00,-15.00
0.02,0.97,-0.11,-1.53,0.18,-0.24,0.00,-6.00,-16.00
0.02,0.97,-0.11,1.22,0.18,-0.24,2.00,-8.00,-11.00
0.02,0.97,-0.10,0.92,0.18,-0.24,2.00,-6.00,-18.00
0.02,0.97,-0.11,-2.32,0.18,-0.24,2.00,-7.00,-14.00
0.01,0.97,-0.11,-1.40,0.18,-0.24,1.00,-4.00,-14.00
0.02,0.97,-0.10,2.26,0.18,-0.18,1.00,-5.00,-17.00
0.02,0.97,-0.11,2.38,0.12,-0.24,1.00,-7.00,-17.00
0.02,0.97,-0.11,1.22,0.18,-0.31,2.00,-6.00,-18.00
0.02,0.97,-0.11,-0.43,0.18,-0.18,1.00,-6.00,-16.00
0.02,0.97,-0.11,-1.46,0.18,-0.24,1.00,-7.00,-11.00
0.02,0.97,-0.11,-2.50,0.18,-0.24,2.00,-6.00,-15.00
0.01,0.97,-0.11,-2.14,0.24,-0.24,0.00,-5.00,-15.00
0.02,0.97,-0.10,-0.79,0.12,-0.24,1.00,-7.00,-17.00
0.02,0.97,-0.11,0.06,0.18,-0.24,2.00,-7.00,-13.00
0.02,0.97,-0.11,-1.10,0.18,-0.24,1.00,-4.00,-16.00
0.02,0.97,-0.11,-0.92,0.18,-0.31,0.00,-7.00,-13.00
0.02,0.97,-0.11,-0.12,0.18,-0.24,0.00,-7.00,-20.00
0.02,0.97,-0.11,-1.16,0.12,-0.24,0.00,-5.00,-13.00
0.02,0.97,-0.11,-1.16,0.18,-0.24,1.00,-4.00,-19.00
0.02,0.97,-0.11,-0.85,0.12,-0.31,2.00,-7.00,-16.00
0.02,0.97,-0.11,0.18,0.18,-0.31,1.00,-5.00,-14.00
0.02,0.97,-0.11,-1.16,0.18,-0.31,-1.00,-5.00,-16.00
0.02,0.97,-0.11,-1.04,0.12,-0.24,3.00,-5.00,-16.00
0.02,0.97,-0.11,-0.24,0.18,-0.18,1.00,-8.00,-20.00
0.02,0.97,-0.11,-1.04,0.24,-0.18,2.00,-6.00,-14.00
0.02,0.97,-0.11,0.79,0.18,-0.24,2.00,-6.00,-14.00
0.02,0.97,-0.11,0.00,0.12,-0.24,1.00,-7.00,-18.00
0.02,0.97,-0.11,-0.31,0.24,-0.24,2.00,-7.00,-18.00
0.01,0.97,-0.11,-0.92,0.12,-0.24,1.00,-8.00,-18.00
0.02,0.97,-0.11,-0.06,0.12,-0.24,2.00,-8.00,-14.00
0.02,0.97,-0.11,-0.73,0.18,-0.18,0.00,-6.00,-14.00
0.02,0.97,-0.11,0.49,0.18,-0.18,1.00,-6.00,-17.00
0.02,0.97,-0.11,-1.40,0.18,-0.24,1.00,-7.00,-17.00
0.02,0.97,-0.11,-0.98,0.18,-0.18,1.00,-6.00,-18.00
0.02,0.97,-0.11,-0.92,0.18,-0.24,0.00,-5.00,-21.00
0.02,0.97,-0.11,-1.71,0.12,-0.31,3.00,-7.00,-24.00
0.02,0.97,-0.11,-0.73,0.12,-0.24,0.00,-6.00,-19.00
0.02,0.97,-0.11,-0.37,0.12,-0.24,0.00,-6.00,-15.00
0.01,0.97,-0.11,0.85,0.18,-0.24,-1.00,-5.00,-11.00
0.02,0.97,-0.11,-2.01,0.12,-0.31,2.00,-6.00,-20.00
0.02,0.97,-0.11,-2.87,0.12,-0.24,1.00,-9.00,-16.00
0.02,0.97,-0.11,-1.40,0.18,-0.24,0.00,-6.00,-17.00
0.02,0.97,-0.11,0.06,0.18,-0.31,1.00,-5.00,-17.00
0.02,0.97,-0.11,-0.37,0.18,-0.24,1.00,-5.00,-15.00
0.02,0.97,-0.11,-0.06,0.12,-0.18,0.00,-6.00,-15.00
