ax,ay,az,gx,gy,gz,mx,my,mz
0.99,-0.02,-0.10,-0.79,0.12,-0.24,-51.00,-29.00,-5.00
0.99,-0.03,-0.10,-1.16,-0.24,-0.31,-53.00,-26.00,-4.00
1.00,-0.02,-0.10,-0.85,1.22,-1.40,-53.00,-29.00,-7.00
0.99,-0.04,-0.11,-2.32,0.31,-1.83,-55.00,-32.00,-5.00
1.00,-0.03,-0.09,-1.04,-0.18,-0.61,-53.00,-31.00,-2.00
0.99,-0.03,-0.13,-0.31,2.38,-0.73,-53.00,-27.00,-6.00
1.00,-0.02,-0.10,0.79,2.38,-0.18,-52.00,-28.00,-4.00
1.00,-0.02,-0.09,0.37,-0.18,-0.55,-52.00,-30.00,-6.00
1.00,-0.03,-0.10,-1.53,-2.14,0.49,-55.00,-26.00,-7.00
1.00,-0.02,-0.10,0.31,0.98,0.37,-53.00,-27.00,-5.00
1.00,-0.02,-0.09,-0.61,-2.93,0.67,-51.00,-29.00,-1.00
0.99,-0.03,-0.11,-0.49,-4.46,2.62,-53.00,-30.00,-2.00
1.00,-0.02,-0.10,0.73,-0.55,1.40,-53.00,-28.00,-3.00
1.00,-0.03,-0.10,-0.06,2.26,-2.01,-53.00,-31.00,-2.00
0.99,-0.04,-0.10,-0.92,0.55,-0.79,-53.00,-29.00,-6.00
1.00,-0.02,-0.09,-0.92,-0.18,-0.06,-54.00,-29.00,-2.00
1.00,-0.01,-0.10,0.67,-1.22,1.59,-54.00,-31.00,2.00
1.00,-0.02,-0.09,0.06,-2.93,2.26,-53.00,-31.00,0.00
1.00,-0.02,-0.08,0.06,1.16,-0.92,-53.00,-30.00,-5.00
1.00,-0.03,-0.10,0.06,2.81,-1.59,-52.00,-28.00,-6.00
0.99,-0.03,-0.09,-1.04,0.85,-1.46,-54.00,-30.00,-4.00
1.00,-0.02,-0.08,-1.83,-0.55,-0.98,-55.00,-27.00,-1.00
1.00,-0.02,-0.09,0.18,0.55,-0.06,-51.00,-27.00,-2.00
0.99,-0.03,-0.10,0.00,1.10,-0.85,-53.00,-30.00,-2.00
1.00,-0.02,-0.08,-1.28,0.37,-0.98,-55.00,-29.00,-4.00
1.00,-0.03,-0.09,-1.16,-0.79,-0.24,-51.00,-27.00,-4.00
1.00,-0.02,-0.09,0.18,0.43,0.37,-54.00,-30.00,-4.00
1.00,-0.03,-0.09,-0.37,2.08,-2.08,-55.00,-29.00,-2.00
1.00,-0.02,-0.08,0.12,0.98,-0.61,-54.00,-30.00,0.00
1.00,-0.02,-0.08,0.18,-1.10,0.49,-53.00,-30.00,-6.00
1.00,-0.02,-0.10,0.55,-1.22,1.40,-55.00,-29.00,-10.00
0.99,-0.04,-0.10,0.61,-0.06,0.67,-51.00,-30.00,-3.00
0.99,-0.03,-0.10,-0.37,-0.67,0.18,-51.00,-27.00,0.00
1.00,-0.02,-0.10,0.67,-0.06,-0.06,-54.00,-28.00,-2.00
0.99,-0.03,-0.11,1.53,1.46,0.61,-55.00,-28.00,-4.00
