ax,ay,az,gx,gy,gz,mx,my,mz
0.00,-1.00,-0.02,-0.73,0.12,-0.18,-233.00,-27.00,-36.00
0.00,-1.01,-0.02,0.37,0.12,-0.18,-233.00,-30.00,-36.00
0.00,-1.01,-0.03,4.52,0.24,-0.18,-233.00,-26.00,-34.00
0.00,-1.01,-0.03,0.12,0.18,-0.18,-234.00,-28.00,-37.00
0.00,-1.01,-0.05,2.14,0.79,-0.18,-234.00,-29.00,-41.00
0.00,-1.01,-0.02,-2.81,0.12,-0.24,-232.00,-27.00,-36.00
0.01,-1.01,-0.02,-0.49,0.12,-0.18,-236.00,-27.00,-34.00
0.00,-1.01,-0.04,2.08,0.55,-0.24,-234.00,-26.00,-37.00
0.00,-1.01,-0.02,-8.48,0.12,-0.31,-233.00,-26.00,-38.00
0.00,-1.01,-0.03,-5.55,0.18,-0.24,-233.00,-26.00,-42.00
0.00,-1.01,-0.04,2.50,0.12,-0.18,-234.00,-27.00,-36.00
0.00,-1.01,-0.04,6.23,0.12,-0.12,-233.00,-26.00,-39.00
0.00,-1.00,-0.02,-4.76,0.24,-0.24,-231.00,-25.00,-34.00
0.00,-1.01,-0.02,-6.84,0.18,-0.24,-232.00,-30.00,-38.00
0.00,-1.01,-0.02,-6.47,0.18,-0.31,-233.00,-29.00,-35.00
0.00,-1.01,-0.02,0.37,0.12,-0.12,-233.00,-28.00,-32.00
0.00,-1.01,-0.02,3.05,0.18,-0.18,-232.00,-29.00,-35.00
0.00,-1.01,-0.02,2.62,0.12,-0.18,-232.00,-27.00,-37.00
0.00,-1.01,-0.03,6.41,0.18,-0.12,-231.00,-28.00,-36.00
0.00,-1.01,-0.02,2.56,0.18,-0.18,-230.00,-28.00,-35.00
0.00,-1.01,-0.02,2.87,0.12,-0.12,-232.00,-28.00,-38.00
0.00,-1.01,-0.01,4.64,0.24,-0.12,-232.00,-27.00,-35.00
0.00,-1.01,-0.02,-7.08,0.18,-0.31,-233.00,-27.00,-33.00
0.00,-1.01,-0.03,-5.80,0.12,-0.24,-233.00,-27.00,-39.00
0.00,-1.01,-0.03,-3.72,0.18,-0.24,-232.00,-27.00,-41.00
0.00,-1.01,-0.03,-3.60,0.24,-0.31,-234.00,-28.00,-35.00
0.00,-1.01,-0.02,0.31,0.18,-0.18,-232.00,-27.00,-37.00
0.01,-1.01,-0.04,1.53,0.18,-0.24,-232.00,-29.00,-34.00
0.00,-1.01,-0.03,-1.34,0.18,-0.31,-233.00,-27.00,-35.00
0.00,-1.01,-0.03,4.64,0.12,-0.18,-234.00,-26.00,-33.00
0.00,-1.01,-0.02,-1.46,0.18,-0.18,-231.00,-27.00,-34.00
0.00,-1.01,-0.02,-2.38,0.12,-0.12,-230.00,-26.00,-41.00
0.01,-1.01,-0.02,5.68,2.93,-0.12,-236.00,-29.00,-37.00
0.00,-1.01,-0.04,2.56,0.18,-0.18,-236.00,-29.00,-40.00
0.00,-1.01,-0.03,-0.31,0.12,-0.24,-235.00,-30.00,-39.00
0.00,-1.01,-0.03,0.06,0.18,-0.18,-236.00,-26.00,-36.00
0.01,-1.01,-0.03,-0.92,0.24,-0.24,-237.00,-29.00,-38.00
0.00,-1.01,-0.03,1.53,0.12,-0.18,-236.00,-28.00,-37.00
0.00,-1.01,-0.03,-3.48,0.18,-0.24,-235.00,-27.00,-40.00
0.00,-1.01,-0.03,5.19,0.24,-0.24,-237.00,-29.00,-35.00
0.00,-1.01,-0.03,3.54,0.12,-0.18,-237.00,-27.00,-35.00
0.00,-1.01,-0.02,2.87,0.24,-0.18,-234.00,-28.00,-35.00
0.00,-1.01,-0.01,0.31,0.31,-0.24,-234.00,-30.00,-36.00
0.00,-1.01,-0.01,5.37,0.24,-0.12,-234.00,-27.00,-37.00
