ax,ay,az,gx,gy,gz,mx,my,mz
0.01,0.97,0.02,-1.22,0.18,-0.18,107.00,-24.00,33.00
0.01,0.98,0.01,-2.44,0.24,-0.24,104.00,-24.00,31.00
0.01,0.98,0.01,-2.20,0.24,-0.24,104.00,-24.00,30.00
0.01,0.98,0.01,-1.16,0.18,-0.24,106.00,-25.00,32.00
0.01,0.98,0.01,-0.06,0.18,-0.24,103.00,-25.00,33.00
0.01,0.98,0.01,0.24,0.31,-0.24,103.00,-23.00,35.00
0.01,0.98,0.01,0.43,0.12,-0.31,103.00,-24.00,33.00
0.01,0.98,0.01,-2.14,0.31,-0.18,104.00,-25.00,34.00
0.01,0.98,0.01,-0.73,0.12,-0.12,104.00,-25.00,32.00
0.01,0.97,0.01,2.50,0.06,-0.24,103.00,-23.00,32.00
0.01,0.98,0.01,3.72,0.06,-0.24,105.00,-22.00,32.00
0.01,0.98,0.01,-1.28,0.12,-0.18,104.00,-24.00,34.00
0.01,0.97,0.01,-1.89,0.24,-0.24,106.00,-24.00,35.00
0.01,0.98,0.02,2.20,0.06,-0.12,104.00,-26.00,36.00
0.01,0.98,0.02,0.37,0.12,-0.24,105.00,-23.00,32.00
0.01,0.97,0.02,-1.04,0.12,-0.18,104.00,-26.00,33.00
0.01,0.98,0.02,2.69,0.06,-0.24,104.00,-25.00,34.00
0.01,0.98,0.02,1.71,0.12,-0.18,104.00,-25.00,34.00
0.01,0.98,0.02,-0.18,0.18,-0.18,104.00,-23.00,34.00
0.01,0.98,0.02,1.53,0.12,-0.18,106.00,-26.00,34.00
0.01,0.98,0.02,2.38,0.12,-0.24,103.00,-24.00,38.00
0.01,0.98,0.02,2.44,-0.67,-0.31,103.00,-25.00,35.00
0.01,0.98,0.03,2.62,-1.59,-0.31,105.00,-25.00,37.00
0.01,0.98,0.03,-0.92,0.24,-0.31,104.00,-23.00,33.00
0.01,0.98,0.02,-3.78,0.31,-0.18,104.00,-24.00,37.00
0.01,0.98,0.03,-0.92,0.18,-0.18,104.00,-28.00,43.00
0.01,0.98,0.03,0.61,0.12,-0.31,105.00,-24.00,33.00
0.01,0.97,0.02,-2.93,0.18,-0.24,103.00,-23.00,38.00
0.01,0.98,0.02,-2.93,0.31,-0.24,106.00,-25.00,37.00
0.01,0.98,0.03,-0.31,0.06,-0.12,104.00,-25.00,37.00
0.01,0.98,0.02,-2.44,0.24,-0.24,105.00,-25.00,35.00
0.01,0.98,0.02,-0.43,0.24,-0.24,103.00,-24.00,40.00
0.01,0.98,0.03,0.12,0.18,-0.18,105.00,-26.00,36.00
0.01,0.98,0.03,1.10,0.06,-0.24,103.00,-26.00,36.00
0.01,0.98,0.03,-0.79,0.18,-0.24,107.00,-25.00,38.00
0.01,0.98,0.03,1.16,0.18,-0.31,106.00,-25.00,42.00
0.01,0.98,0.03,-0.79,0.18,-0.24,104.00,-25.00,36.00
0.01,0.98,0.02,-2.26,0.18,-0.18,106.00,-26.00,36.00
0.01,0.97,0.03,0.43,0.12,-0.24,106.00,-26.00,32.00
0.01,0.98,0.03,-1.34,0.18,-0.24,105.00,-26.00,34.00
0.01,0.98,0.03,-1.53,0.18,-0.18,104.00,-27.00,35.00
0.01,0.98,0.03,-1.34,0.18,-0.24,103.00,-26.00,37.00
0.01,0.98,0.03,2.87,0.12,-0.37,104.00,-26.00,38.00
0.01,0.98,0.03,0.61,0.12,-0.24,107.00,-24.00,36.00
0.01,0.98,0.03,0.73,-0.06,-0.18,103.00,-25.00,37.00
0.01,0.98,0.03,-0.37,0.18,-0.31,103.00,-28.00,41.00
0.01,0.97,0.03,0.12,0.18,-0.31,102.00,-25.00,34.00
0.01,0.98,0.03,1.83,0.06,-0.31,103.00,-25.00,35.00
0.01,0.98,0.03,0.49,0.12,-0.24,104.00,-26.00,34.00
0.01,0.97,0.03,-0.85,0.12,-0.18,105.00,-25.00,40.00
0.01,0.98,0.03,-0.79,0.18,-0.18,103.00,-27.00,35.00
0.01,0.98,0.03,-0.37,0.18,-0.24,106.00,-23.00,32.00
0.01,0.97,0.03,-0.55,0.18,-0.24,104.00,-24.00,38.00
0.01,0.98,0.03,0.92,0.24,-0.24,104.00,-25.00,35.00
0.01,0.98,0.03,0.18,0.18,-0.31,104.00,-27.00,40.00
0.01,0.98,0.03,-0.37,0.18,-0.24,106.00,-26.00,39.00
0.01,0.98,0.03,0.55,0.24,-0.24,104.00,-25.00,36.00
0.01,0.98,0.03,-0.12,0.12,-0.31,103.00,-25.00,38.00
0.01,0.98,0.03,-2.20,0.18,-0.24,104.00,-23.00,38.00
0.01,0.98,0.03,-1.89,0.24,-0.12,104.00,-27.00,39.00
0.01,0.98,0.03,-2.56,0.18,-0.06,105.00,-26.00,38.00
0.01,0.97,0.03,-1.22,0.12,-0.18,103.00,-26.00,38.00
0.01,0.98,0.03,-0.55,0.12,-0.24,104.00,-25.00,38.00
0.01,0.98,0.03,-2.01,0.31,-0.18,104.00,-27.00,40.00
