ax,ay,az,gx,gy,gz,mx,my,mz
-0.97,-0.02,-0.02,-1.53,-1.34,-0.73,-47.00,116.00,-15.00
-0.98,-0.02,-0.01,1.22,0.37,1.04,-46.00,115.00,-12.00
-0.98,-0.02,-0.02,2.75,2.14,1.71,-47.00,116.00,-15.00
-0.98,-0.02,-0.01,4.88,0.98,1.89,-47.00,117.00,-12.00
-0.98,-0.02,-0.02,2.08,-0.18,1.04,-47.00,117.00,-12.00
-0.98,-0.02,-0.01,-1.71,-1.34,-0.06,-47.00,114.00,-16.00
-0.98,-0.02,-0.01,-2.87,-0.24,-0.98,-46.00,115.00,-15.00
-0.98,-0.02,-0.01,-0.49,-0.73,0.49,-46.00,116.00,-15.00
-0.98,-0.03,-0.01,-1.10,0.43,-0.18,-46.00,115.00,-13.00
-0.98,-0.03,-0.01,-0.79,0.67,-0.24,-46.00,116.00,-11.00
-0.98,-0.02,-0.01,-1.53,-0.92,-0.49,-44.00,115.00,-16.00
-0.98,-0.02,-0.02,-0.85,1.10,-1.10,-47.00,116.00,-14.00
-0.98,-0.02,-0.02,0.92,0.85,0.37,-45.00,116.00,-16.00
-0.98,-0.03,-0.01,1.04,2.08,-0.85,-47.00,116.00,-15.00
-0.98,-0.03,-0.01,1.22,1.34,0.85,-47.00,114.00,-6.00
-0.98,-0.03,-0.01,0.00,0.85,0.06,-46.00,116.00,-8.00
-0.98,-0.02,-0.01,0.49,0.61,0.49,-47.00,112.00,-12.00
-0.98,-0.02,-0.01,-0.43,0.61,-1.10,-46.00,115.00,-9.00
-0.98,-0.02,-0.01,-0.31,0.18,-0.37,-46.00,114.00,-11.00
-0.98,-0.03,-0.01,-1.10,-0.06,-0.85,-45.00,116.00,-10.00
-0.98,-0.02,-0.01,0.00,0.06,0.06,-46.00,116.00,-12.00
-0.98,-0.02,-0.01,1.53,0.55,1.28,-46.00,115.00,-8.00
-0.98,-0.03,-0.00,0.55,0.55,1.71,-46.00,118.00,-10.00
-0.98,-0.03,-0.01,-0.43,-0.61,1.28,-43.00,117.00,-13.00
-0.98,-0.03,-0.00,-1.59,-1.59,-0.79,-47.00,116.00,-11.00
-0.98,-0.03,-0.00,-0.79,-1.46,-0.06,-45.00,115.00,-12.00
