ax,ay,az,gx,gy,gz,mx,my,mz
1.00,-0.08,0.02,-0.85,-0.49,-0.73,-10.00,26.00,-44.00
1.00,-0.08,0.02,-0.37,-0.55,-0.61,-12.00,23.00,-46.00
1.00,-0.08,0.03,-0.79,0.55,-0.31,-11.00,25.00,-47.00
1.00,-0.09,0.03,-0.67,-0.12,-0.55,-10.00,23.00,-50.00
1.00,-0.09,0.03,-0.18,-0.12,-0.85,-9.00,26.00,-49.00
1.00,-0.08,0.03,-0.79,0.06,-0.24,-13.00,23.00,-48.00
1.00,-0.08,0.02,-0.24,-0.31,-0.18,-9.00,26.00,-46.00
1.00,-0.09,0.03,-1.46,1.28,0.18,-11.00,23.00,-47.00
1.00,-0.09,0.03,-0.61,0.98,-0.92,-12.00,26.00,-48.00
1.00,-0.09,0.02,-0.61,0.61,-0.37,-12.00,22.00,-52.00
1.00,-0.09,0.03,0.31,-0.24,-0.98,-13.00,23.00,-48.00
1.00,-0.09,0.03,0.55,-0.24,-1.10,-12.00,24.00,-45.00
1.00,-0.09,0.03,0.61,-0.24,-0.98,-11.00,25.00,-46.00
1.00,-0.09,0.03,-0.12,0.37,-0.55,-10.00,26.00,-46.00
1.00,-0.09,0.02,-1.53,1.10,-0.18,-12.00,24.00,-48.00
1.00,-0.09,0.02,-1.34,0.06,0.12,-9.00,24.00,-49.00
1.00,-0.09,0.03,0.06,-0.06,-0.61,-12.00,25.00,-46.00
1.00,-0.09,0.02,-0.24,-0.06,-0.49,-11.00,23.00,-48.00
1.00,-0.09,0.02,-0.12,-0.43,-0.49,-11.00,25.00,-45.00
1.00,-0.09,0.02,-0.61,0.06,-0.43,-13.00,29.00,-50.00
1.00,-0.09,0.03,-0.73,-0.06,-0.37,-11.00,22.00,-50.00
1.00,-0.09,0.03,1.04,0.06,-1.40,-12.00,27.00,-47.00
1.00,-0.09,0.02,-0.61,0.37,0.00,-12.00,27.00,-49.00
1.00,-0.09,0.03,-0.12,-0.37,-0.55,-9.00,23.00,-45.00
1.00,-0.09,0.03,-0.49,0.12,-0.55,-12.00,26.00,-48.00
1.00,-0.09,0.03,0.00,-0.37,-0.85,-11.00,26.00,-47.00
1.00,-0.09,0.03,-0.98,0.24,0.00,-12.00,23.00,-52.00
1.00,-0.09,0.03,-0.37,0.43,-0.67,-10.00,23.00,-50.00
1.00,-0.09,0.03,-0.37,0.06,-0.67,-10.00,25.00,-51.00
1.00,-0.09,0.03,-0.43,0.06,-0.43,-11.00,23.00,-48.00
1.00,-0.09,0.03,-0.37,0.85,0.00,-12.00,25.00,-44.00
1.00,-0.09,0.02,-0.49,0.79,0.24,-11.00,25.00,-46.00
1.00,-0.09,0.03,-0.85,0.85,0.31,-10.00,25.00,-48.00
1.00,-0.09,0.02,0.18,-0.31,-0.31,-13.00,25.00,-48.00
1.00,-0.09,0.03,-0.79,0.00,0.37,-12.00,26.00,-51.00
1.00,-0.09,0.03,0.06,0.12,-0.37,-10.00,24.00,-48.00
1.00,-0.09,0.02,-0.18,0.00,-0.24,-12.00,25.00,-53.00
1.00,-0.09,0.02,-0.55,0.24,-0.31,-12.00,25.00,-46.00
1.00,-0.09,0.02,-0.31,0.06,-0.37,-12.00,25.00,-47.00
1.00,-0.09,0.02,0.55,0.61,-1.22,-11.00,22.00,-49.00
1.00,-0.09,0.02,-1.10,-0.18,-0.06,-13.00,24.00,-47.00
1.00,-0.09,0.03,-0.73,-0.79,-0.18,-12.00,26.00,-50.00
1.00,-0.09,0.02,-0.55,0.31,-0.37,-11.00,25.00,-49.00
1.00,-0.09,0.02,-0.49,0.37,-0.18,-11.00,24.00,-46.00
1.00,-0.09,0.03,-0.06,-0.06,-0.55,-14.00,24.00,-48.00
1.00,-0.09,0.02,-0.55,0.18,-0.37,-12.00,25.00,-50.00
1.00,-0.10,0.03,-0.24,0.92,-0.12,-12.00,26.00,-49.00
1.00,-0.09,0.03,-0.24,0.49,-0.49,-11.00,26.00,-47.00
1.00,-0.09,0.02,-0.31,0.92,-0.49,-10.00,25.00,-51.00
1.00,-0.09,0.02,-0.12,0.12,-0.31,-12.00,27.00,-46.00
1.00,-0.10,0.03,0.55,-0.67,-1.28,-11.00,27.00,-50.00
1.00,-0.10,0.03,-0.06,0.31,-0.49,-11.00,24.00,-47.00
1.00,-0.09,0.03,0.24,-0.37,-0.79,-12.00,25.00,-48.00
1.00,-0.09,0.03,0.37,-0.85,-1.28,-12.00,26.00,-49.00
1.00,-0.10,0.03,0.73,-0.85,-1.10,-13.00,27.00,-52.00
1.00,-0.09,0.02,0.37,-0.18,-0.67,-13.00,26.00,-48.00
